Date,Open,Close,High,Low,Pcr,Volume
2016-01-08,1936.50,1911.50,1964.75,1910.00,2.22,1560268
2016-01-11,1909.25,1914.25,1929.00,1892.50,2.61,1506556
2016-01-12,1913.50,1925.00,1940.25,1899.00,1.70,1100811
2016-01-13,1922.50,1881.50,1946.50,1878.00,2.11,1306757
2016-01-14,1883.75,1914.50,1927.50,1871.00,1.80,1741624
2016-01-15,1913.50,1875.00,1921.00,1849.25,2.28,1592425
2016-01-17,1869.75,1868.88,1873.00,1860.00,0.00,0
2016-01-18,1869.00,1874.25,1890.00,1865.75,0.00,0
2016-01-19,1869.75,1873.00,1907.50,1856.25,1.94,1002825
2016-01-20,1871.75,1855.00,1878.50,1804.25,2.39,2365944
2016-01-21,1854.75,1861.00,1883.25,1836.25,1.61,1491719
2016-01-22,1858.50,1899.25,1902.25,1855.75,1.65,1233587
2016-01-25,1899.50,1870.25,1904.25,1855.75,1.60,814022
2016-01-26,1871.75,1896.00,1899.75,1851.25,1.22,815771
2016-01-27,1885.25,1875.00,1910.00,1864.50,1.53,874857
2016-01-28,1880.00,1880.75,1902.50,1865.75,1.84,796555
2016-01-29,1878.75,1930.00,1933.00,1876.50,1.47,1480563
2016-02-01,1929.75,1931.25,1940.00,1912.50,1.72,902958
2016-02-02,1928.50,1897.50,1929.25,1889.00,1.73,889689
2016-02-03,1895.00,1908.50,1912.25,1865.00,1.70,1118940
2016-02-04,1907.75,1907.75,1922.25,1890.25,2.21,862740
2016-02-05,1905.25,1875.25,1914.50,1865.75,1.79,1242061
2016-02-08,1876.25,1852.00,1884.50,1821.75,1.89,1372913
2016-02-09,1849.75,1848.25,1863.75,1825.75,1.99,1022711
2016-02-10,1850.00,1846.75,1877.75,1838.50,1.84,949134
2016-02-11,1842.25,1824.50,1847.25,1802.50,1.93,1371702
2016-02-12,1827.25,1858.25,1860.75,1822.50,1.91,1368349
2016-02-14,1865.75,1869.50,1871.00,1865.25,0.00,0
2016-02-15,1869.38,1883.25,1890.00,1868.00,0.00,0
2016-02-16,1865.25,1888.75,1892.75,1865.00,1.91,1113936
2016-02-17,1888.25,1922.75,1928.00,1881.50,1.90,1644008
2016-02-18,1926.75,1916.50,1933.50,1911.25,1.72,1242643
2016-02-19,1917.50,1914.50,1922.75,1898.50,2.12,1115606
2016-02-22,1911.00,1936.25,1943.75,1908.25,1.76,1148659
2016-02-23,1934.00,1916.00,1938.00,1913.75,2.52,899368
2016-02-24,1914.00,1930.25,1933.75,1886.75,1.87,1006596
2016-02-25,1933.00,1950.50,1951.50,1920.25,1.79,913032
2016-02-26,1949.00,1942.75,1968.75,1941.25,1.55,1210165
2016-02-29,1943.00,1929.50,1956.25,1926.50,1.84,1007543
2016-03-01,1928.00,1978.00,1978.50,1920.75,1.25,1277872
2016-03-02,1976.25,1983.50,1984.75,1966.25,1.79,1088315
2016-03-03,1981.75,1990.50,1992.50,1974.75,1.25,1237817
2016-03-04,1991.00,1995.00,2007.50,1984.00,1.19,1489567
2016-03-07,1994.50,1999.00,2004.50,1984.50,1.77,747241
2016-03-08,1999.00,1981.00,2000.25,1976.00,1.79,884483
2016-03-09,1981.75,1989.00,1994.00,1978.00,1.50,945901
2016-03-10,1990.00,1988.75,2010.25,1967.25,1.75,1081395
2016-03-11,1988.50,2020.00,2022.25,1987.50,1.20,1438654
2016-03-14,2019.25,2018.75,2024.50,2012.00,1.50,785227
2016-03-15,2019.00,2015.75,2019.50,2004.50,1.33,898588
2016-03-16,2016.25,2027.00,2032.25,2006.50,1.54,1322127
2016-03-17,2026.75,2039.75,2046.75,2015.75,1.06,1627004
2016-03-18,2041.50,2050.07,2048.75,2037.00,1.33,1246011
2016-03-21,2036.50,2042.75,2044.50,2031.00,1.54,820911
2016-03-22,2043.25,2042.50,2047.50,2028.75,1.56,836546
2016-03-23,2043.00,2028.75,2045.25,2025.25,1.42,963195
2016-03-24,2028.00,2028.50,2030.25,2012.25,1.85,1097436
2016-03-28,2030.25,2028.00,2039.75,2022.00,1.66,618344
2016-03-29,2027.75,2047.50,2049.25,2019.25,1.46,819369
2016-03-30,2048.50,2055.25,2064.50,2046.75,1.11,1539195
2016-03-31,2055.50,2051.50,2059.75,2047.25,1.89,977322
2016-04-01,2052.75,2065.00,2067.00,2035.25,1.47,1081956
2016-04-04,2064.00,2057.50,2071.50,2054.25,1.42,768664
2016-04-05,2055.50,2038.75,2055.50,2034.25,1.71,733267
2016-04-06,2042.00,2060.25,2060.50,2035.00,1.78,761776
2016-04-07,2059.75,2035.00,2062.00,2026.00,1.56,934150
2016-04-08,2034.50,2040.75,2054.25,2030.25,1.90,889450
2016-04-11,2041.00,2034.50,2056.50,2032.50,1.65,711243
2016-04-12,2032.50,2055.75,2058.50,2029.25,1.43,746062
2016-04-13,2055.25,2076.00,2077.00,2054.00,1.05,1155086
2016-04-14,2076.25,2076.50,2081.75,2068.50,1.15,1218899
2016-04-15,2077.75,2075.00,2080.00,2069.50,1.78,960044
2016-04-18,2064.25,2086.75,2088.75,2058.50,1.93,705765
2016-04-19,2085.25,2093.75,2098.50,2084.75,1.21,1111829
2016-04-20,2094.25,2098.00,2105.25,2085.75,1.61,1541425
2016-04-21,2097.75,2082.75,2104.00,2078.75,1.60,991716
2016-04-22,2079.75,2086.00,2089.00,2075.00,2.06,998010
2016-04-25,2091.50,2083.25,2091.50,2071.00,1.49,623275
2016-04-26,2084.25,2088.50,2091.25,2079.50,1.42,618571
2016-04-27,2082.25,2090.75,2094.00,2076.25,1.52,804021
2016-04-28,2092.50,2072.50,2094.25,2065.25,1.52,916534
2016-04-29,2073.75,2059.00,2076.00,2045.75,1.65,1422878
2016-05-02,2060.75,2074.25,2077.50,2055.50,1.50,569997
2016-05-03,2075.50,2057.00,2076.25,2048.00,1.99,857660
2016-05-04,2057.50,2047.00,2060.25,2039.00,1.28,1066824
2016-05-05,2046.50,2044.00,2060.00,2039.50,2.01,845032
2016-05-06,2043.50,2052.75,2054.50,2030.50,1.72,1295379
2016-05-09,2053.00,2054.25,2059.75,2048.25,2.36,616558
2016-05-10,2054.00,2077.50,2079.75,2048.00,1.55,977729
2016-05-11,2077.25,2058.00,2078.75,2057.50,1.84,1014466
2016-05-12,2059.00,2058.75,2072.75,2048.50,1.97,838703
2016-05-13,2059.25,2043.50,2063.50,2038.50,2.08,1065945
2016-05-16,2041.25,2062.75,2068.50,2035.00,1.43,776725
2016-05-17,2062.00,2043.50,2069.50,2036.75,1.58,1063446
2016-05-18,2043.75,2041.50,2057.75,2030.75,1.61,1248659
2016-05-19,2043.50,2038.75,2044.75,2022.00,1.86,1411621
2016-05-20,2038.75,2050.00,2055.50,2037.25,1.50,1102835
2016-05-23,2053.25,2045.25,2056.00,2043.50,1.99,875719
2016-05-24,2045.00,2075.00,2077.25,2041.25,1.60,1272723
2016-05-25,2075.00,2087.25,2092.50,2073.50,1.21,1277784
2016-05-26,2088.75,2089.75,2091.75,2082.50,1.53,995702
2016-05-27,2090.50,2097.25,2098.75,2088.00,1.51,1122522
2016-05-29,2099.62,2101.50,2103.25,2099.50,0.00,0
2016-05-30,2101.25,2101.25,2103.75,2099.75,0.00,0
2016-05-31,2100.00,2095.00,2103.75,2086.00,1.70,1224389
2016-06-01,2094.00,2098.00,2099.25,2083.25,1.71,1119037
2016-06-02,2096.75,2103.75,2104.75,2086.75,1.48,892685
2016-06-03,2103.50,2097.75,2106.00,2082.75,1.29,1339532
2016-06-06,2097.50,2108.25,2112.25,2094.00,1.52,1232397
2016-06-07,2108.25,2110.25,2118.00,2106.50,1.24,1340011
2016-06-08,2110.25,2118.00,2119.75,2106.50,1.39,962413
2016-06-09,2117.75,2114.25,2118.50,2106.25,1.56,892000
2016-06-10,2113.75,2096.25,2114.00,2088.50,1.78,1267431
2016-06-13,2089.25,2078.75,2098.25,2075.75,2.01,1171439
2016-06-14,2077.00,2074.50,2081.75,2063.25,2.06,1414835
2016-06-15,2072.75,2071.75,2086.25,2068.75,2.32,1376366
2016-06-16,2070.50,2079.25,2080.00,2050.00,1.88,1528335
2016-06-17,2077.75,2078.50,2083.00,2073.75,1.92,1354156
2016-06-20,2071.00,2074.25,2092.50,2070.25,1.79,1039531
2016-06-21,2079.00,2080.50,2086.00,2074.00,2.09,1153519
2016-06-22,2079.25,2076.75,2091.25,2075.25,1.54,1387379
2016-06-23,2083.00,2105.75,2113.25,2083.00,1.81,1266947
2016-06-24,2115.75,2018.50,2119.50,1999.00,2.02,2174568
2016-06-27,2013.75,1985.00,2022.50,1981.50,1.56,2161760
2016-06-28,1982.50,2028.50,2029.75,1982.25,1.54,1698276
2016-06-29,2028.25,2066.75,2074.75,2022.75,1.60,1945088
2016-06-30,2072.25,2090.25,2091.25,2056.50,1.54,2065182
2016-07-01,2086.50,2096.25,2100.75,2081.50,1.79,1511581
2016-07-03,2099.25,2094.25,2099.75,2094.25,0.00,0
2016-07-04,2094.50,2096.88,2104.75,2094.25,0.00,0
2016-07-05,2099.75,2082.75,2104.75,2072.50,2.20,1084085
2016-07-06,2084.00,2094.00,2094.50,2065.75,1.64,1170472
2016-07-07,2092.00,2092.00,2102.00,2081.75,1.44,1174938
2016-07-08,2092.00,2120.50,2125.50,2087.50,1.03,1918565
2016-07-11,2120.25,2130.25,2136.75,2120.00,0.98,1650658
2016-07-12,2130.75,2145.75,2149.25,2128.50,1.08,1678213
2016-07-13,2145.75,2146.00,2152.25,2139.50,1.23,1177524
2016-07-14,2145.25,2157.25,2168.00,2142.75,0.92,1629123
2016-07-15,2156.50,2152.75,2164.75,2143.25,1.57,1212833
2016-07-18,2154.50,2160.00,2163.25,2152.75,1.47,1047090
2016-07-19,2160.00,2158.75,2160.75,2151.25,1.58,803344
2016-07-20,2159.00,2167.50,2169.75,2155.25,1.18,1593660
2016-07-21,2168.25,2158.00,2170.25,2153.50,1.66,910609
2016-07-22,2159.00,2167.50,2169.25,2156.00,1.67,1032385
2016-07-25,2167.75,2162.25,2172.50,2155.75,1.37,881593
2016-07-26,2162.75,2163.25,2168.00,2153.75,1.42,690329
2016-07-27,2166.00,2160.50,2169.25,2152.00,1.38,912989
2016-07-28,2162.75,2164.75,2168.50,2153.50,1.42,1213038
2016-07-29,2165.50,2168.25,2171.75,2157.50,1.64,1357176
2016-08-01,2174.00,2164.50,2177.75,2159.75,1.84,882896
2016-08-02,2166.00,2152.75,2171.00,2141.50,1.59,964311
2016-08-03,2152.25,2157.00,2158.25,2145.25,2.05,713357
2016-08-04,2156.75,2159.25,2164.25,2154.00,1.69,756422
2016-08-05,2159.50,2176.75,2178.50,2159.25,1.47,1520326
2016-08-08,2176.00,2175.50,2183.00,2173.25,1.43,1004857
2016-08-09,2176.00,2177.50,2183.50,2173.75,1.59,831517
2016-08-10,2178.00,2172.75,2181.50,2167.75,1.50,947632
2016-08-11,2172.50,2181.75,2185.25,2170.00,1.57,867019
2016-08-12,2181.75,2180.25,2184.00,2175.50,1.38,1002245
2016-08-15,2180.75,2186.00,2190.75,2180.50,1.34,1029859
2016-08-16,2186.00,2176.75,2186.25,2175.25,1.56,1057971
2016-08-17,2177.50,2179.75,2182.00,2165.50,1.57,1166931
2016-08-18,2180.75,2183.50,2184.50,2176.25,1.50,942090
2016-08-19,2183.50,2181.75,2184.25,2172.50,1.83,1099573
2016-08-22,2181.75,2181.50,2184.50,2173.50,1.51,844539
2016-08-23,2180.75,2185.25,2191.50,2179.25,1.45,1008688
2016-08-24,2185.75,2175.00,2187.75,2168.75,1.53,1232312
2016-08-25,2175.00,2173.50,2177.25,2167.50,1.88,990396
2016-08-26,2174.00,2168.50,2186.75,2157.50,1.53,1430528
2016-08-29,2167.75,2179.25,2182.25,2164.50,1.45,1000601
2016-08-30,2180.00,2175.25,2181.50,2168.50,1.63,998707
2016-08-31,2175.75,2169.50,2176.25,2159.50,2.21,1082923
2016-09-01,2169.00,2167.25,2177.25,2154.75,2.08,1021183
2016-09-02,2166.25,2178.00,2183.75,2164.25,2.16,1233235
2016-09-04,2178.75,2180.75,2181.75,2178.25,0.00,0
2016-09-05,2180.75,2178.00,2182.25,2175.00,0.00,0
2016-09-06,2179.25,2184.50,2186.25,2173.00,1.45,1185496
2016-09-07,2185.25,2184.50,2186.75,2177.50,2.07,1074603
2016-09-08,2184.50,2177.50,2189.25,2175.75,1.88,1047083
2016-09-09,2177.25,2122.75,2178.25,2119.75,2.04,2142378
2016-09-12,2121.75,2158.50,2162.75,2107.00,1.44,2018393
2016-09-13,2156.25,2128.75,2157.50,2119.00,1.65,1336686
2016-09-14,2131.75,2120.25,2141.25,2118.75,1.51,1395525
2016-09-15,2121.75,2145.00,2151.50,2114.75,1.56,1266043
2016-09-16,2143.75,2139.96,2144.25,2135.50,1.63,1453903
2016-09-19,2132.25,2133.00,2146.75,2127.75,1.65,970901
2016-09-20,2133.75,2131.00,2143.50,2129.00,1.53,859161
2016-09-21,2130.00,2156.25,2157.50,2126.25,1.94,1555270
2016-09-22,2156.25,2168.25,2172.75,2152.75,1.73,1643068
2016-09-23,2168.25,2158.00,2169.50,2156.00,2.11,1296269
2016-09-26,2156.25,2139.75,2159.50,2136.75,1.78,1112638
2016-09-27,2139.25,2152.75,2154.00,2132.75,1.66,962619
2016-09-28,2152.00,2163.25,2165.25,2144.00,1.45,1046448
2016-09-29,2162.25,2148.50,2167.00,2137.25,1.80,1370810
2016-09-30,2145.75,2160.50,2168.25,2135.75,1.69,1234744
2016-10-03,2158.75,2153.25,2164.00,2146.75,1.97,914763
2016-10-04,2153.75,2144.75,2159.75,2136.00,1.62,1038200
2016-10-05,2144.25,2153.25,2158.00,2141.00,1.74,735041
2016-10-06,2153.25,2156.50,2157.25,2143.25,1.90,786963
2016-10-07,2155.25,2146.50,2161.50,2138.00,1.85,1200338
2016-10-10,2152.00,2159.00,2163.50,2148.50,1.67,975330
2016-10-11,2159.50,2134.50,2160.75,2121.75,1.64,1427384
2016-10-12,2133.00,2131.50,2140.75,2126.25,1.95,1106368
2016-10-13,2127.75,2126.25,2132.25,2107.75,1.55,1259776
2016-10-14,2126.25,2127.00,2143.25,2122.25,1.69,1205022
2016-10-17,2126.25,2123.00,2130.00,2116.75,1.65,911814
2016-10-18,2122.50,2132.00,2139.75,2120.25,1.48,1148033
2016-10-19,2131.50,2138.00,2142.50,2126.50,1.57,1210457
2016-10-20,2137.50,2137.00,2144.50,2126.75,1.46,1113880
2016-10-21,2136.00,2134.75,2138.50,2123.25,1.96,1318807
2016-10-24,2137.00,2144.25,2149.00,2134.75,2.22,849628
2016-10-25,2144.75,2138.00,2149.75,2135.25,2.03,789308
2016-10-26,2135.25,2134.00,2140.00,2124.75,1.43,953358
2016-10-27,2133.75,2123.50,2143.75,2122.50,1.48,1049818
2016-10-28,2127.25,2123.75,2135.25,2112.50,1.83,1371771
2016-10-31,2120.00,2120.00,2130.50,2114.75,1.81,951593
2016-11-01,2123.50,2103.75,2129.50,2091.00,1.95,1365502
2016-11-02,2102.25,2092.25,2106.50,2087.25,1.63,1380215
2016-11-03,2088.25,2083.50,2098.75,2079.75,1.87,1521875
2016-11-04,2084.00,2080.00,2094.25,2078.75,1.99,1810856
2016-11-07,2106.00,2129.00,2130.75,2102.75,1.78,1596037
2016-11-08,2129.00,2135.50,2143.25,2119.00,2.14,1610845
2016-11-09,2138.00,2160.25,2166.75,2028.50,1.55,2332845
2016-11-10,2159.50,2167.25,2180.50,2147.75,1.33,1878742
2016-11-11,2165.00,2161.50,2170.50,2148.50,1.86,1446742
2016-11-14,2164.50,2160.50,2174.50,2152.25,1.24,1507079
2016-11-15,2161.00,2179.25,2179.75,2158.50,1.35,1241031
2016-11-16,2179.00,2172.75,2185.00,2168.75,1.18,1501493
2016-11-17,2172.50,2184.25,2185.50,2171.75,1.14,1356477
2016-11-18,2184.00,2180.75,2187.50,2176.50,1.43,1322659
2016-11-21,2179.50,2193.00,2196.50,2178.50,1.26,1257484
2016-11-22,2193.25,2200.25,2203.00,2191.75,1.49,1268466
2016-11-23,2201.25,2200.75,2203.50,2192.00,1.42,1064965
2016-11-24,2199.25,2205.50,2207.00,2197.75,0.00,0
2016-11-25,2201.00,2211.25,2211.75,2197.50,1.10,1077037
2016-11-28,2208.00,2200.75,2209.50,2198.25,1.63,917287
2016-11-29,2200.25,2203.75,2209.50,2196.25,1.66,873703
2016-11-30,2203.25,2198.75,2213.75,2197.25,1.26,1264746
2016-12-01,2199.50,2192.00,2203.00,2186.00,1.46,944999
2016-12-02,2190.50,2192.00,2197.25,2184.25,1.26,1103182
2016-12-05,2184.00,2204.25,2208.75,2179.00,1.21,995162
2016-12-06,2205.00,2210.00,2212.00,2200.25,1.16,974101
2016-12-07,2211.25,2236.75,2241.25,2206.75,0.91,1734843
2016-12-08,2236.50,2247.75,2251.50,2232.50,0.89,1857539
2016-12-09,2246.75,2260.00,2261.25,2245.00,1.08,1610810
2016-12-12,2260.75,2256.00,2270.25,2252.25,1.22,1260371
2016-12-13,2256.00,2273.25,2278.25,2253.25,0.81,1588141
2016-12-14,2273.25,2257.00,2277.00,2248.00,1.29,1461426
2016-12-15,2256.00,2263.50,2272.75,2252.25,1.17,1311527
2016-12-16,2264.25,2268.63,2269.50,2261.75,1.40,1433301
2016-12-19,2256.00,2260.00,2263.75,2254.00,1.47,877079
2016-12-20,2260.25,2266.50,2269.50,2260.00,1.29,881441
2016-12-21,2267.25,2260.50,2268.00,2258.00,1.76,934937
2016-12-22,2258.25,2258.75,2261.00,2251.50,1.29,1036074
2016-12-23,2257.50,2260.00,2261.00,2254.25,1.54,567006
2016-12-26,2259.25,2259.00,2260.25,2258.50,0.00,0
2016-12-27,2258.75,2261.00,2269.50,2257.75,1.23,571286
2016-12-28,2261.25,2245.25,2267.50,2243.50,1.49,911281
2016-12-29,2245.50,2245.00,2250.00,2239.50,1.62,783843
2016-12-30,2246.25,2236.25,2252.75,2228.00,1.34,1166472
2017-01-02,2241.38,2243.25,2244.88,2241.38,0.00,0
2017-01-03,2240.75,2252.50,2259.50,2239.50,1.58,1290036
2017-01-04,2252.75,2264.25,2267.25,2251.00,1.18,1054406
2017-01-05,2264.50,2264.25,2266.00,2254.00,1.66,900747
2017-01-06,2264.25,2271.50,2277.00,2258.25,1.52,1276095
2017-01-08,2270.50,2272.75,2273.25,2270.50,0.00,0
2017-01-09,2271.25,2265.00,2275.25,2263.50,1.84,860867
2017-01-10,2264.50,2263.75,2274.00,2259.50,1.80,848545
